Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Tallinn,Kesklinn,,Lastekodu 35-17,95.2,4,6/6,2023,434000,4559
Harjumaa,Tallinn,Lasnamäe,,Pae tn 23a,16,1,4/5,1968,58900,3681
Pärnumaa,Tori vald,Sauga,,Hirvela tn 5,53.7,2,4/4,2007,93000,1732
Harjumaa,Lääne-Harju vald,Paldiski linn,,Sadama 25,79,3,1/3,1961,98000,1241
Harjumaa,Viimsi vald,Haabneeme,,Kivila tee 2-28,73.3,3,3/4,,329900,4501
Pärnumaa,Pärnu,Mai,,Papiniidu 27,67.2,3,4/5,1985,130000,1935
Harjumaa,Tallinn,Mustamäe,,Kadaka pst 140,61,3,5/7,2015,220000,3607
Harjumaa,Tallinn,Põhja-Tallinn,,Maleva põik 6,34.9,1,3/5,1997,88899,2547
Valgamaa,Valga vald,Valga linn,,Aia tn 14,35.1,2,2/3,,14900,425
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Kummeli 20a,97.4,4,2/3,2016,240000,2464
Harjumaa,Tallinn,Mustamäe,,A. H. Tammsaare tee 83,27.8,1,2/5,1969,99500,3579
Harjumaa,Tallinn,Mustamäe,Sääse piirkonnas,Mustamäe tee 149,60,3,5/9,1963,169900,2832
Harjumaa,Tallinn,Põhja-Tallinn,Sitsi,Kanepi 3,48.6,2,1/3,1959,146990,3024
Harjumaa,Tallinn,Mustamäe,,Aiandi 3/1,64.4,2,3/3,2008,190000,2950
Pärnumaa,Pärnu,Papsaare,,Mesiheina tee 6,48.9,2,1/3,2020,139900,2861
Valgamaa,Valga vald,Valga linn,,Tähe tn 15-14,32.6,1,5/5,1989,14900,457
Harjumaa,Tallinn,Kesklinn,Südalinn,Mere pst 8,31.3,1,2/5,2016,149999,4792
Harjumaa,Tallinn,Kristiine,,Vindi tn 1a,80,4,4/5,1987,285000,3563
Ida-Virumaa,Kohtla-Järve,Järve,,Olevi 26,51,2,4/9,1968,18900,371
