Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Viimsi vald,Viimsi,,Hüatsindi tee 2,70.1,3,2/2,2018,249000,3552
Ida-Virumaa,Narva,,,Võidu prospekt 13,41,2,5/5,1965,25000,610
Raplamaa,Kohila vald,Kohila,,Lõuna põik 1,49.5,3,2/2,1972,123000,2485
Harjumaa,Tallinn,Kesklinn,,Paldiski mnt 23A,54.2,3,2/4,1937,175000,3229
Raplamaa,Rapla vald,Purku,,Sääre,43,1,1/3,1993,15000,349
Ida-Virumaa,Narva,,,Madise tn 8,37,2,1/4,1961,25800,697
Harjumaa,Tallinn,Mustamäe,,Retke tee 14,64.2,3,1/5,1971,167000,2601
Harjumaa,Tallinn,Kesklinn,,Tuukri 1b,49.5,2,4/6,2018,250000,5051
Lääne-Virumaa,Rakvere,,,Laada tn 4,43.5,2,1/5,1971,64990,1494
Harjumaa,Tallinn,Nõmme,Kivimäe,Laulu 11,43.1,2,1/2,1930,105000,2436
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/3-94,79.5,4,8/10,2024,252000,3170
Tartumaa,Tartu,,,Uus tn 13c,41.2,2,2/5,1965,99900,2425
Harjumaa,Tallinn,Kesklinn,Tallinn-Väike,Türi tn 9/3-137,57,2,7/7,2024,239400,4200
Tartumaa,Tartu,Tartu linn,,Põhja pst 8,57.2,3,1/5,,109000,1906
Harjumaa,Tallinn,Mustamäe,,E. Vilde tee 108,76.7,4,4/9,1969,189800,2475
Harjumaa,Lääne-Harju vald,Paldiski linn,,Peetri tn 28,31.2,1,4/5,,39000,1250
Harjumaa,Saue vald,Alliku,Uus-Nõmme,Pilliroo tn 28c,91.5,4,1/3,2022,339000,3705
Harjumaa,Tallinn,Haabersti,Kodulahe,Soodi tn 6/2-8,77.1,3,3/4,2025,345000,4475
Pärnumaa,Pärnu,Kesklinn,,Suur-Sepa 2a,44.3,2,2/3,,112000,2528
Harjumaa,Tallinn,Lasnamäe,,Majaka 21,39.7,3,1/4,1963,129000,3249
Harjumaa,Tallinn,Mustamäe,,Akadeemia tee 10,44.1,2,2/5,1963,105000,2381
Tartumaa,Tartu,Tartu linn,Jaamamõisa,Lääne 6,63.6,3,1/5,,119900,1885
Harjumaa,Tallinn,Haabersti,,Jalami tn 1,52.3,2,1/8,2021,185000,3537
Pärnumaa,Pärnu,Kesklinn,,Väike-Kuke 25,53.9,3,2/2,,111000,2059
Harjumaa,Tallinn,Kesklinn,,Narva mnt 6,55.9,2,2/5,1959,229000,4097
Pärnumaa,Tori vald,Tori,,Virula 10,66.6,3,1/3,1983,59900,899
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Tööstuse tn 11/1,47.8,2,1/2,1905,163900,3429
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/12-11,85.6,5,2/3,2025,253900,2966
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe 27,76.8,4,1/5,,110000,1432
Harjumaa,Tallinn,Nõmme,Männiku,Mahla 83,34.8,2,1/2,,127500,3664
Lääne-Virumaa,Rakvere,,,Pagusoo 5-20,78.5,4,5/5,2004,87000,1108
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 227c/1-26,79.5,4,7/14,2024,277300,3488
Harjumaa,Tallinn,Kesklinn,,Mardi tn 6,51.4,3,8/8,2016,231000,4494
Harjumaa,Tallinn,Nõmme,,Jaama tn 6-22,85,3,4/4,2024,495000,5824
Harjumaa,Tallinn,Kristiine,Lilleküla,Nõmme tee 70-2,44.1,2,1/3,2023,210000,4762
Ida-Virumaa,Narva,,,P. Kerese tn 13,47.8,3,3/4,1963,18000,377
Harjumaa,Tallinn,Pirita,,Põõsa tee 3/5-5,88.4,4,2/3,2023,445000,5034
Harjumaa,Kiili vald,Luige,,Põllu 12,39,1,2/3,1986,80000,2051
Tartumaa,Tartu,Tartu linn,Annelinn,Anne tn 55,47.3,2,7/9,1972,85000,1797
Harjumaa,Tallinn,Kesklinn,Kitseküla,Pärnu mnt 123a-41,31,1,4/4,1960,108000,3484
Harjumaa,Tallinn,Mustamäe,,Juhan Sütiste tee 26,46.8,3,1/5,,119000,2543
Harjumaa,Tallinn,Haabersti,,Pikaliiva tn 40,64.9,3,1/3,2023,259000,3991
Harjumaa,Tallinn,Kristiine,Löwenruh,Vesipapi tn 6-34,73,3,7/8,2024,319000,4370
Valgamaa,Valga vald,Valga linn,,Lai tn 10,80.8,4,2/2,,23000,285
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 18/1-1,51.1,2,1/4,2025,208990,4090
Lääne-Virumaa,Tapa vald,Tamsalu linn,,Koidu tn 19,37.8,2,2/2,1985,17000,450
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/13-13,57.8,3,2/3,2024,203900,3528
Viljandimaa,Viljandi,,,C.R. Jakobsoni 8-13,100.6,3,3/3,1910,392300,3900
Lääne-Virumaa,Haljala vald,Võsupere,,Saare,66.8,3,2/3,1985,59000,883
Tartumaa,Tartu,Annelinn,,Jaama 167-3,84.3,4,,2023,191000,2266
Harjumaa,Tallinn,Lasnamäe,,J. Koorti tn 8,52.4,3,6/9,1980,135000,2576
Harjumaa,Lääne-Harju vald,Paldiski linn,,Sadama tn 19,40,2,2/4,1987,47000,1175
Harjumaa,Tallinn,Lasnamäe,,Paepargi tn 37,51.6,2,1/4,2017,219000,4244
Harjumaa,Saue vald,Ääsmäe,,Kasesalu 6,65.3,3,3/3,1980,115000,1761
Ida-Virumaa,Sillamäe,,,Roheline tn. 5,27,1,2/5,,10500,389
Ida-Virumaa,Narva,,,A. Puškini tn 65,61.1,3,3/5,2006,41000,671
Harjumaa,Tallinn,Kristiine,,Välja tn 17,70.7,4,,1940,199000,2815
Ida-Virumaa,Narva,,,Partisani tn 1a,60.3,3,,1969,51000,846
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 7/2-144,45.5,2,5/6,2024,198900,4371
Läänemaa,Haapsalu,Haapsalu linn,,Kuuse tn 26,66.7,3,4/5,1986,87000,1304
Ida-Virumaa,Kohtla-Järve,Järve,,Outokumpu tn 23,46.8,2,5/5,1975,15500,331
Harjumaa,Tallinn,Lasnamäe,,Muhu 5,64.8,3,6/9,,129000,1991
Harjumaa,Tallinn,Nõmme,,Vabaduse pst 166,45.6,2,1/4,,109900,2410
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-68,143.5,1,1/1,2025,349180,2433
Harjumaa,Tallinn,Kesklinn,Stellar,Tartu mnt 15-53,118.7,4,8/16,2027,714000,6015
Harjumaa,Tallinn,Vanalinn,,Rüütli 14,42.2,2,1/2,,199900,4737
Harjumaa,Tallinn,Kesklinn,Tallinn-Väike,Türi tn 9/3-134,57.9,2,7/7,2024,284900,4921
Harjumaa,Tallinn,Lasnamäe,,Pae tn 17,40.3,2,1/5,1986,128000,3176
Harjumaa,Tallinn,Pirita,Kose,Kose tee 43-1,83.4,3,1/3,2008,275000,3297
Harjumaa,Tallinn,Nõmme,,Valdeku tn 105,12,1,2/5,1965,39500,3292
Tartumaa,Tartu,Tartu linn,Karlova,B. G. Forseliuse 3,98.5,5,3/4,1995,179990,1827
Harjumaa,Tallinn,Lasnamäe,,Sikupilli tn 2,65.8,3,1/3,1948,149000,2264
Harjumaa,Tallinn,Kadriorg,,A. Weizenbergi tn 29,107,3,3/4,2001,1000000,9346
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Lai 15a,47.7,2,6/6,2022,328000,6876
Lääne-Virumaa,Viru-Nigula vald,Aseri,,Veetorni tn 8,45,2,1/4,1961,34000,756
Harjumaa,Tallinn,Lasnamäe,Laagna,J. Koorti tn 18,116.6,7,1/16,1992,179000,1535
Tartumaa,Tartu,Raadi-Kruusamäe,,Kalevipoja tn 1-5,58.4,2,1/3,2025,149900,2567
Harjumaa,Tallinn,Kesklinn,Südalinn,Tornimäe tn 7,48.4,2,9/30,2006,229500,4742
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 7/2-111,34.5,1,3/6,2024,154900,4490
Harjumaa,Tallinn,Mustamäe,Siili,Siili tn 21/2,64.5,3,1/8,1984,190000,2946
Pärnumaa,Pärnu,Pärnu linn,Mai,Papiniidu 27,48.8,2,5/5,1985,108000,2213
Pärnumaa,Pärnu,Pärnu linn,Mai,Mai tn 79-7,49.6,2,1/3,2024,155000,3125
Tartumaa,Kastre vald,Võnnu,,Tartu tn 5,58.1,3,1/3,1975,68000,1170
Harjumaa,Tallinn,Kristiine,Kristiine City,Talli tn 3-48,68.9,3,7/7,2025,326800,4743
Harjumaa,Tallinn,,,Lammi tn 8-38,36.1,1,3/4,2023,190000,5263
Harjumaa,Tallinn,Kesklinn,,Tehnika tn 33,52.8,2,2/5,2015,235000,4451
Harjumaa,Tallinn,Kesklinn,KAKS KORTERIT-ÜHE HINNAGA,Wismari 38,100.2,5,1/2,1940,219900,2195
Harjumaa,Tallinn,Kesklinn,,Narva mnt 40,16.5,1,3/6,2019,125000,7576
Harjumaa,Tallinn,Haabersti,,kukesaba tn 6-1,107.2,5,1/3,2023,319900,2984
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 36,78.5,4,5/9,,134000,1707
Harjumaa,Tallinn,Põhja-Tallinn,Manufaktuuri Kvartal,Manufaktuuri tn,45.7,2,1/9,2019,165900,3630
Harjumaa,Tallinn,Põhja-Tallinn,,Sepa tn 28-7,68.8,3,3/5,2025,365000,5305
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 202,71.2,3,6/9,1970,159000,2233
Harjumaa,Tallinn,Mustamäe,,Kadaka tee 173,43.9,2,4/5,1967,113900,2595
Ida-Virumaa,Kohtla-Järve,Järve,,Metsapargi tn 6,31.4,1,4/5,1977,8700,277
Ida-Virumaa,Sillamäe,,,Kesk tn 41--,39.8,2,4/4,1962,7000,176
Harjumaa,Tallinn,Haabersti,,Tagala tn 7-31,45.5,2,4/4,2025,169000,3714
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Kalaranna,61.4,2,2/5,2021,460000,7492
Harjumaa,Tallinn,Põhja-Tallinn,Telliskivi,Kopli tn 2-9,42.6,2,4/5,2025,295000,6925
Ida-Virumaa,Narva,,,Kreenholmi tn 4,39.5,2,4/5,1963,26000,658
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 47,78.5,4,9/9,,125000,1592
Pärnumaa,Pärnu,Rannarajoon,Valgre elamurajoon,Tiiru 3-15,82.4,3,3/7,2025,440000,5340
Tartumaa,Tartu,Tartu linn,,Kastani tn 157 // 159,33.9,2,2/2,,75000,2212
Harjumaa,Tallinn,Kesklinn,,Pirita tee 26b/1,62.3,3,2/4,2020,285000,4575
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Mai tn 71,39.9,2,3/3,2023,166000,4160
Raplamaa,Rapla vald,Alu,,Pargi tn 1,84.4,3,2/3,1980,92000,1090
Harjumaa,Tallinn,Kristiine,,Endla tn 55,47.2,3,5/5,1971,149999,3178
Pärnumaa,Pärnu,Kesklinn,,Suur-Posti tn 11/1,32.3,2,2/2,1999,94000,2910
Pärnumaa,Pärnu,Kesklinn,,Väike-Kuke 21b,40.2,2,2/2,1965,80000,1990
Harjumaa,Tallinn,Põhja-Tallinn,,Erika 15,65.6,2,3/4,1946,274000,4177
Harjumaa,Tallinn,Mustamäe,,Kiili tn 14-8,74.3,3,3/5,2025,315000,4240
Harjumaa,Tallinn,Pirita,Regati,Regati pst. 5/3-23,74.7,3,3/3,,395000,5288
Lääne-Virumaa,Tapa vald,Tapa linn,,Roheline 16,35.4,2,1/3,,28500,805
Järvamaa,Paide,Paide linn,,Pärna tn 8,79.2,4,2/5,1992,63000,795
Harjumaa,Tallinn,Mustamäe,,J. Sütiste tee 5,66.8,3,6/9,1971,129000,1931
Harjumaa,Lääne-Harju vald,Paldiski linn,,Rae tn 21,38.3,2,1/5,1987,30000,783
Tartumaa,Tartu,Tartu linn,Karlova,Turu tn 31,33.3,1,5/5,1995,75900,2279
Ida-Virumaa,Toila vald,Voka alevik,,Narva mnt 7-34,56.2,3,4/4,1970,14000,249
Harjumaa,Rae vald,Peetri,,Vägeva tee 17/1,72.8,3,1/3,2006,190000,2610
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/12-25,87.4,4,3/3,2025,241900,2768
Läänemaa,Haapsalu,Uuemõisa alevik,,Tallinna mnt 74,65.2,2,1/2,1983,89000,1365
Harjumaa,Tallinn,Kesklinn,Kassisaba,A. Adamsoni tn 21/1,49.8,2,1/2,1890,119000,2390
Raplamaa,Kohila vald,Prillimäe,,Sõpruse põik 8,68.7,3,3/3,1992,75000,1092
Ida-Virumaa,Narva,,,Rahu tn 34,63.6,3,3/9,1985,47000,739
Harjumaa,Tallinn,Haabersti,,Päevalille 17-63,36.3,1,,2023,159000,4380
Harjumaa,Tallinn,Põhja-Tallinn,,Vasara tn 22a,49.7,2,5/5,1972,108900,2191
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137-124,47.3,2,5/16,2024,195180,4126
Harjumaa,Tallinn,Haabersti,,Ehitajate tee 111,65.2,3,2/17,1984,161000,2469
Harjumaa,Tallinn,Kristiine,,Seebi tn 8,22.3,1,2/3,1946,80000,3587
Harjumaa,Tallinn,Haabersti,,Lahepea 7,60.9,2,2/5,2018,245700,4034
Harjumaa,Tallinn,Lasnamäe,,J. Koorti tn 10,64.6,3,9/9,1980,108000,1672
Harjumaa,Maardu,,,Noorte tn 7a,66.5,3,2/4,2020,209990,3158
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 10/2-11,114,3,5/6,2025,944900,8289
Ida-Virumaa,Narva,,,Malmi tn 10,36.8,2,1/4,1960,38000,1033
Pärnumaa,Pärnu,Pärnu linn,Kesklinn,Suur-Sepa 22/1,42,2,1/1,1900,147000,3500
Harjumaa,Tallinn,Mustamäe,,Pöörise 12,,2,9/14,2021,165000,
Ida-Virumaa,Kohtla-Järve,Ahtme,,Ahtme mnt 69,33.3,1,1/3,1965,17000,511
Saaremaa,Saaremaa vald,Valjala,,Pärna tn 4,68,3,3/3,1998,67000,985
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Raadiraja tn 12-9,64.3,3,2/4,2025,188900,2938
Harjumaa,Tallinn,Mustamäe,,Sõpruse pst 241,30,1,5/5,1968,106000,3533
Tartumaa,Tartu,Tartu linn,Tähtvere,Hiie,89,3,1/2,,167000,1876
Tartumaa,Luunja vald,Lohkva,,Pillikoori tee 5/1,32.2,2,1/3,2018,105000,3261
Harjumaa,Rae vald,Jüri,,Tammiku tee 27,105.6,5,3/5,1983,179000,1695
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Kalevipoja tn 1-3,81.9,3,1/1,2025,188700,2304
Ida-Virumaa,Narva,,,A. Puškini tn 49,65.7,3,1/9,1985,65000,989
Raplamaa,Kehtna vald,Kehtna,,Viljandi mnt 4,66.3,3,5/5,,34000,513
Harjumaa,Tallinn,Mustamäe,Sääse,Mustamäe tee 147,43.1,2,8/9,1969,113900,2643
Harjumaa,Tallinn,Kristiine,,Sõstra tn 3,65.4,3,2/9,1987,169000,2584
Tartumaa,Tartu,Tartu linn,Ropka,Aardla 9a,61.3,3,2/5,,105000,1713
Harjumaa,Tallinn,Pirita,Regati,Regati pst. 5/1-40,121.6,3,2/3,,694000,5707
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 69,129.8,3,3/3,1919,329000,2535
Harjumaa,Tallinn,Põhja-Tallinn,,Sitsi tn 7,19.5,1,,1905,63000,3231
Harjumaa,Tallinn,Haabersti,,Hanijala tn 9/2-12,76,3,2/3,2024,264900,3486
Harjumaa,Tallinn,Haabersti,,Taludevahe 57-10,82.9,3,2/4,2025,290000,3498
Harjumaa,Tallinn,Haabersti,,Möldre tee 5/2-6,112.5,4,1/2,2023,275000,2444
Pärnumaa,Pärnu,Kesklinn,,Õhtu põik 4,18,1,1/2,1961,49000,2722
Harjumaa,Tallinn,Mustamäe,Sääse,Tildri 17,54.8,2,2/3,1989,107000,1953
Harjumaa,Tallinn,Põhja-Tallinn,Telliskivi,Ristiku tn 23,132.5,5,1/2,1923,379973,2868
Lääne-Virumaa,Rakvere,,,Võidu tn. 38,42.8,2,1/3,1974,59900,1400
Lääne-Virumaa,Haljala vald,Võsupere,,Saare 17,59.3,2,3/3,1985,46000,776
Pärnumaa,Pärnu,Rannarajoon,,Supeluse 23,52,2,2/2,,225000,4327
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Uus-Volta 10/3-33,81.6,3,5/5,2025,599900,7352
Harjumaa,Tallinn,Põhja-Tallinn,,Vihuri 8,58,3,5/5,1970,154900,2671
Harjumaa,Tallinn,Põhja-Tallinn,Pelguranna,Puhangu tn 61,29.8,1,5/5,1972,89990,3020
Lääne-Virumaa,Vinni vald,Vinni,,Tiigi tn 7,40.6,2,1/4,1967,45000,1108
Valgamaa,Otepää vald,Otepää linn,,Lille tn 1,24.7,1,1/2,,58000,2348
Raplamaa,Kohila vald,Prillimäe,,Sõpruse 9-1000,72.8,4,1/3,1981,69000,948
Ida-Virumaa,Narva,,,V. Gerassimovi tn 14,45.3,2,1/5,1967,35000,773
Tartumaa,Tartu,Tartu linn,Kesklinn,Narva maantee 91,34.5,2,1/2,1946,94900,2751
Harjumaa,Tallinn,Põhja-Tallinn,Pelgulinn,Härjapea tn 6/1,41.6,3,1/2,1898,140000,3365
Harjumaa,Jõelähtme vald,Loo alevik,,Saha tee 8-11,74,4,3/8,2026,228900,3093
Harjumaa,Tallinn,Põhja-Tallinn,,Salme 6,69.4,3,2/2,,215000,3098
Harjumaa,Tallinn,Lasnamäe,KAHEKORDNE suure RÕDUGA,Narva mnt 174c-4,76.1,2,3/3,2007,185000,2431
Tartumaa,Tartu,Tartu linn,Variku,Rehetare tee 11-3,164.9,4,,2024,285000,1728
Ida-Virumaa,Kohtla-Järve,Järve,,Aia tn 9,39.2,2,4/4,,6900,176
Tartumaa,Tartu,Tartu linn,Kesklinn,Küüni tn 2,62.7,2,2/4,1950,189000,3014
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 18/2-11,51.7,3,3/8,2025,229990,4449
Ida-Virumaa,Narva,,,Rakvere tn 85,61.3,3,5/5,1986,62000,1011
Tartumaa,Tartu,Tartu linn,Ülejõe,Mäe 12,45.9,2,1/2,,72000,1569
Ida-Virumaa,Kohtla-Järve,Järve,,Vahtra tn 16,39.2,2,1/4,,9900,253
Harjumaa,Tallinn,Kesklinn,Kadriorg,J.Vilmsi 58-111,55,2,2/5,1992,200000,3636
Harjumaa,Tallinn,Pirita,Regati,Regati pst. 5/4-10,88.3,4,2/3,,429000,4858
Ida-Virumaa,Narva,,,Kalda tn 10,39.2,1,1/2,1965,15000,383
Harjumaa,Tallinn,Põhja-Tallinn,,Sepa tn 28-13,68.3,3,4/5,2025,385000,5637
Harjumaa,Tallinn,Pirita,,Masti tn 11,89.1,3,1/2,2024,440000,4938
Harjumaa,Tallinn,Põhja-Tallinn,Kopli,Ankru tn 8,50.8,3,3/6,2023,253900,4998
Harjumaa,Tallinn,Mustamäe,Uus-Mustamäe,Aiandi 14-42,41,2,8/9,2024,184990,4512
Pärnumaa,Pärnu,,,Karja tn 67,40,2,2/2,1900,95000,2375
Harjumaa,Tallinn,Kristiine,,Marsi tn 3a,63.1,2,1/5,2015,220000,3487
Läänemaa,Haapsalu,Haapsalu linn,Haapsalu vanalinn,Sadama tn 37,85.9,3,,1930,169000,1967
Harjumaa,Tallinn,Lasnamäe,,Paekaare 74,54,2,5/5,,104500,1935
Harjumaa,Tallinn,Põhja-Tallinn,,Kopli tn 77,75.7,3,4/4,1912,259900,3433
Harjumaa,Kuusalu vald,Kolga,,Kullava tee 3-3,48.3,2,,1984,59900,1240
Harjumaa,Viimsi vald,Pärnamäe,,Põllu tee 6,66.1,2,2/2,2005,165000,2496
Tartumaa,Tartu,Supilinn,,Herne 45a,48.6,2,1/3,2020,180000,3704
Harjumaa,Tallinn,Kesklinn,,Pärnu mnt 137-99,82.9,4,14/16,2024,359000,4331
Tartumaa,Tartu,Jaamamõisa,,Lääne 13,47.1,2,4/5,1978,94900,2015
Harjumaa,Rae vald,Rae,,Väike-Rae tee 2/12-17,75.4,3,2/3,2025,226900,3009
Viljandimaa,Mulgi vald,Karksi,,Pargi 14-4,48.8,3,2/3,1969,27000,553
Tartumaa,Tartu,Annelinn,,Jaama 167-60,59.9,3,,2023,165000,2755
Pärnumaa,Pärnu,Pärnu linn,,Oja 134,92,4,2/3,1999,134500,1462
Harjumaa,Tallinn,Põhja-Tallinn,,Väike-Laagri tn 4,48,2,3/4,1946,195000,4063
Ida-Virumaa,Narva,,,Viru tn 13,39.1,2,1/4,1965,28000,716
Ida-Virumaa,Narva,,,Tallinna mnt 24,40.6,2,1/5,1963,18000,443
Ida-Virumaa,Sillamäe,,,Hariduse tn. 12,22,1,1/5,,8600,391
Harjumaa,Maardu,,,Stardi tn 5,47,3,5/5,1988,88900,1891
Harjumaa,Maardu,,,Veeru tn 12,32.8,1,9/9,1986,59990,1829
Harjumaa,Tallinn,Pirita,,Supluse pst 1,163.5,4,4/5,2007,590000,3609
Harjumaa,Tallinn,Nõmme,Pääsküla,Teelise 7,27.2,1,3/5,1972,80000,2941
Harjumaa,Tallinn,Mustamäe,,Keskuse 22,55.9,3,2/5,1964,129900,2324
Tartumaa,Tartu,Rahinge,,Ilmatsalu tee 47,56.6,3,1/2,1976,109900,1942
Harjumaa,Tallinn,Kesklinn,Sikupilli,Lasnamäe tn 4a,56.5,2,5/13,2018,259000,4584
Harjumaa,Tallinn,Kristiine,Lilleküla,Endla 61a,94.2,4,3/3,2023,325000,3450
Harjumaa,Harku vald,Tabasalu,,Lasteaia tn 8-3,46.4,2,1/3,,182600,3935
Harjumaa,Tallinn,Nõmme,,Vabaduse puiestee 181/1,36,1,3/3,2008,119900,3331
Ida-Virumaa,Kohtla-Järve,Ahtme,,Puru tee 29,48.1,2,4/5,1984,9000,187
Ida-Virumaa,Narva,,,Rahu tn 44,31.6,1,5/5,1988,14000,443
Harjumaa,Tallinn,Haabersti,Kodulahe,Soodi tn 6/1-4,109.4,4,2/5,2025,485000,4433
Harjumaa,Tallinn,Lasnamäe,,Katleri 9-x,65,3,6/9,1992,125500,1931
Harjumaa,Tallinn,Kristiine,Lilleküla,Nõmme tee 70-4,87.6,4,2/3,2023,395000,4509
Harjumaa,Tallinn,Kesklinn,Kaunilt renoveeritud hoone,Toom-Kuninga tn 26/1-6,30,1,1/2,2024,120000,4000
Harjumaa,Tallinn,Kesklinn,,Gonsiori 29,85.9,3,1/6,1951,445900,5191
Harjumaa,Anija vald,Kehra linn,,Aia 12-1,43.7,2,1/3,2023,108900,2492
Harjumaa,Lääne-Harju vald,Harju-Risti,,6,81.6,4,2/3,1984,42000,515
Tartumaa,Nõo vald,Tõravere,,Observatooriumi 5D-2,108.1,3,1/2,2023,177900,1646
Tartumaa,Tartu,Tartu linn,Raadi-Kruusamäe,Piloodi 1-13,59.9,3,2/3,2026,166900,2786
Pärnumaa,Pärnu,Ülejõe,,Jannseni 41,61.3,2,2/3,2006,87000,1419
Tartumaa,Tartu,Karlova,,Purde 19,59.6,3,4/4,2006,180000,3020
Harjumaa,Tallinn,Kesklinn,,Komeedi 4,50.6,2,5/5,1962,150000,2964
Tartumaa,Tartu vald,Kärkna,,torni,50.9,2,1/5,1991,69000,1356
Pärnumaa,Pärnu,Pärnu linn,Rääma,Oja tn 34,34.8,2,4/4,1960,75000,2155
Harjumaa,Tallinn,Vanalinn,Vene tn/ Vanaturu Kael,Vene / Vanaturu Kael,270,7,3/4,1920,1340000,4963
Pärnumaa,Põhja-Pärnumaa vald,Vändra,,Pärnu-Paide mnt 11,52.3,2,2/2,,28000,535
Tartumaa,Tartu,Tartu linn,Ülejõe,Fortuuna tn 27-11,47.8,2,3/5,,275000,5753
Harjumaa,Viimsi vald,Haabneeme,,Kesk põik 3,67.9,2,4/4,2005,169500,2496
Harjumaa,Tallinn,Kesklinn,Juhkentali,Võistluse tn 6/2-75,71.5,3,5/14,2020,259900,3635
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Rakvere tn 24a,53.6,2,,1979,24500,457
Harjumaa,Saue vald,Lehetu,,Turba tee 1,68,3,1/3,1984,29900,440
Harjumaa,Tallinn,Põhja-Tallinn,,Kolde pst 102,55.3,2,12/14,1987,139999,2532
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 20,49.3,2,4/5,1982,76500,1552
Harjumaa,Tallinn,Lasnamäe,Lauluväljak,Mäe 2,56.3,3,1/6,2018,254900,4528
Pärnumaa,Põhja-Pärnumaa vald,Pärnu-Jaagupi,,Soo tn 4,77.4,3,2/3,1973,39000,504
Harjumaa,Tallinn,Vanalinn,,Lai tn 15,68.5,3,4/4,1840,369000,5387
Harjumaa,Tallinn,Kesklinn,Kristiine,Tondi tn 35,23,1,2/2,,58500,2543
Tartumaa,Elva vald,Ulila,,Kesk tn 12,39.7,2,1/3,1974,42000,1058
Harjumaa,Tallinn,Haabersti,,Õismäe tee 135,84.1,4,4/5,1977,169000,2010
Viljandimaa,Viljandi,,,Ilmarise tn 10-10,51.1,2,3/3,2025,169000,3307
Harjumaa,Viimsi vald,Haabneeme,,Idapõllu tee 3,50,2,1/4,2007,144900,2898
Valgamaa,Valga vald,Valga linn,,Lai tn 25-9,37.7,2,3/3,1949,11900,316
Harjumaa,Tallinn,Põhja-Tallinn,Noblessner,Allveelaeva tn 4-B42,32.1,1,5/6,2023,199000,6199
Harjumaa,Saue vald,Saue linn,,Kuuseheki tn 54,76.8,4,3/3,2022,250000,3255
Viljandimaa,Viljandi,,,C. R. Jakobsoni 8-3,44.2,2,1/3,1910,185600,4199
Harjumaa,Tallinn,Põhja-Tallinn,,Manufaktuuri tn 5-222,118.1,4,1/5,2026,576000,4877
Valgamaa,Valga vald,Valga linn,,Vee tn 5,64.5,3,5/5,,38500,597
Harjumaa,Tallinn,Kesklinn,Kadriorg,F. R. Faehlmanni tn 28-17,44.2,3,3/3,2025,249000,5633
Harjumaa,Tallinn,Pirita,Merivälja,Näsiniine tee 8,204.4,5,1/2,2025,790000,3865
Harjumaa,Tallinn,Kadriorg,,L. Koidula 28,77.8,2,3/3,2000,315000,4049
Harjumaa,Tallinn,Kesklinn,,F. R. Kreutzwaldi tn 12,140.7,5,1/5,1912,649000,4613
Pärnumaa,Pärnu,Pärnu linn,Rääma,Niidu tn 3,32.8,2,3/3,1987,59900,1826
Harjumaa,Tallinn,Mustamäe,,E. Vilde tee 61,43.8,2,2/5,1966,93000,2123
Harjumaa,Tallinn,Kesklinn,VÄRSKE REMONT.UUS HIND.,Kaupmehe tn 4,59.9,2,4/4,1954,199900,3337
Harjumaa,Tallinn,Lasnamäe,,Paekaare tn 66,52.9,3,5/5,1978,109000,2060
Harjumaa,Tallinn,,,Laulupeo,97.8,3,4/6,2015,349000,3569
Läänemaa,Haapsalu,Haapsalu linn,,Käbi tn 2,50.6,2,3/3,1986,85000,1680
Harjumaa,Tallinn,Haabersti,,Merirahu tn 2,85.7,4,3/4,2007,300000,3501
Harjumaa,Tallinn,Põhja-Tallinn,,Väike-Patarei 1/3,38,1,3/4,2020,175000,4605
Harjumaa,Tallinn,Mustamäe,,Mustamäe tee 195,47.2,2,4/5,1963,99000,2097
Valgamaa,Valga vald,Valga linn,,J. Kuperjanovi tn 43,39.6,2,1/2,1969,19900,503
Pärnumaa,Pärnu,Pärnu linn,,Rääma tn 7C/1-7,55.2,3,3/4,2025,219000,3967
